t;x;y;z;vx;vy;vz;a;e;w;i;raan;nu
0;6460000;0;0;0;4616.77361808314;6593.43604024501;6800000;0.0499999999999999;0;0.959931088596881;0;0
30;6455695.57246151;138472.442901059;197759.004640789;-286.924983467434;4613.69747598725;6589.02898998066;6799978.06853352;0.0499959709000868;0.00117892274157461;0.959930100865909;-3.00509753269668e-08;0.0361999910915389
60;6442788.92139595;276760.377479272;395253.672748433;-573.407977650903;4604.47506885063;6575.816485816;6799912.43183241;0.0499839339201047;0.00234131017534536;0.959927143875928;-2.4016001445826e-07;0.0724117009979731
90;6421299.92255377;414679.65630463;592220.186218795;-859.00821660142;4589.12442856562;6553.82443086012;6799803.55838859;0.0499640389821843;0.00347083741147445;0.959922236184156;-8.09085126967099e-07;0.108646647932959
120;6391261.64110069;552046.852224815;788395.761636441;-1143.28737348858;4567.6755251714;6523.09587739778;6799652.22383685;0.0499365336600791;0.00455159817997125;0.959915408550669;-1.91299685437569e-06;0.144915951082764
150;6352720.24038611;688679.614772587;983519.162251137;-1425.81076134874;4540.17014294249;6483.69084863845;6799459.50325721;0.0499017597664268;0.00556830873640322;0.959906703687546;-3.72421593536236e-06;0.181230136396288
180;6305734.85500605;824397.022131791;1177331.2035653;-1706.1485115056;4506.6617084226;6435.68609133785;6799226.76055608;0.0498601486385404;0.00650650523290309;0.959896175911712;-6.4099881638612e-06;0.217598948790079
210;6250377.42893677;959019.927241604;1369575.25048912;-1983.87672262532;4467.21507188661;6379.17476142575;6798955.63507957;0.0498122151860039;0.00735273230183851;0.959883890705508;-1.01313080378028e-05;0.25403117298252
240;6186732.51972147;1092371.29666896;1559997.70409262;-2258.57857370524;4421.90624409878;6314.2660453287;6798648.02565122;0.0497585507809173;0.00809472055217507;0.959869924189983;-1.5041802130383e-05;0.290534465219902
270;6114897.06988748;1224276.54094057;1748348.47607218;-2529.84539470512;4370.82209059377;6241.08472019152;6798306.07226054;0.0496998150887076;0.00872155063914094;0.959854362516872;-2.12866823065266e-05;0.327115198198036
300;6034980.14695329;1354563.83509775;1934381.44915259;-2797.2776890038;4314.05998603279;6159.77065667093;6797932.13565859;0.0496367269538011;0.00922380154803719;0.959837301186071;-2.90017779729451e-05;0.363778321504558
330;5947102.65355123;1483064.42831822;2117854.92176222;-3060.48610239591;4251.72743147691;6070.478268391;6797528.77514167;0.0495700544699272;0.00959368074626044;0.959818844296175;-3.83126555036415e-05;0.400527239895839
360;5851397.00934181;1609612.94153831;2298532.03544684;-3319.09233392088;4183.94163766957;5973.37591251036;6797098.72482335;0.0495006043790501;0.00982513391659903;0.959799103736236;-4.93338318459487e-05;0.437363711665625
390;5748006.80652755;1734047.65210471;2476181.18362637;-3572.7299844328;4110.82907762834;5868.64524615019;6796644.86870864;0.0494292109555956;0.00991393210284627;0.959778198327447;-6.21680881065712e-05;0.474287769246937
420;5637086.44088762;1856210.76458683;2650576.40044428;-3821.04533946222;4032.52501200993;5756.48054366815;6796170.21489194;0.0493567245433652;0.00985773428646305;0.959756252923777;-7.69058876602492e-05;0.511297664003603
450;5518800.7203479;1975948.66698633;2821497.72861229;-4063.69808358092;3949.17299083232;5637.08797993571;6795677.86920232;0.0492839999209089;0.00965612367932063;0.959733397480872;-9.36249020377978e-05;0.548389836904188
480;5393324.45317491;2093112.17168938;2988731.56530923;-4300.361944147;3860.9243352126;5510.68488488428;6795171.00861614;0.0492118846767417;0.00931061636705748;0.959709766102586;-0.000112389646563268;0.585558916424365
510;5260842.0179358;2207556.74061745;3152070.98535154;-4530.72526297128;3767.9376028111;5377.49897463087;6794652.85474844;0.0491412077782688;0.00882464137088251;0.959685496074551;-0.000133251226428741;0.622797744593284
