t;x;y;z;vx;vy;vz;a;e;w;i;raan;nu
690;4629403.93494066;2199007.98718097;4389877.78861065;-5500.77623681184;2489.70789798728;4965.92989968044;6990794.90361844;0.0487776290932571;0.000767851839931473;1.10623946834755;-0.000199288924926735;0.814110652801069
720;4461718.50980824;2272405.00554758;4536264.57239561;-5677.05603811168;2403.00768377884;4792.35125717289;6990224.80235664;0.0487343765480896;-0.000628634493565587;1.10622009244982;-0.000223097347382279;0.850209885917242
750;4288853.18740768;2343163.96144574;4677369.90646385;-5846.07521906019;2313.85902392606;4613.87731888244;6989665.83214496;0.0486974008260392;-0.00209265680075112;1.10620095852394;-0.000248310831065673;0.886290774280425
780;4111028.19285956;2411213.3863345;4813050.91533755;-6007.67564185945;2222.39451096981;4430.77418563273;6989120.75392431;0.0486670350897692;-0.00360940048278543;1.10618215790302;-0.000274895565485609;0.922336262996262
810;3928468.28900264;2476485.81218008;4943172.75199303;-6161.71291941703;2128.74819885784;4243.31087837391;6988592.18469227;0.0486435303547452;-0.00516350005532035;1.10616377876709;-0.000302810804866313;0.958328884156044
840;3741402.36501567;2538917.81048447;5067608.6757908;-6308.0563321918;2033.05528360846;4051.75869643097;6988082.58510102;0.048627054111316;-0.00673925098321289;1.10614590571155;-0.000332009252212083;0.994250969720156
870;3550063.02814628;2598450.02188082;5186240.11144885;-6446.58870466739;1935.45179394475;3856.39059582359;6987594.248815;0.0486176901500088;-0.0083208228145937;1.10612861935277;-0.000362437474375095;1.0300848653486
900;3354686.19971629;2655027.17660985;5298956.68969154;-6577.20624426054;1836.07429287756;3657.48058962464;6987129.29363197;0.0486154395566599;-0.00989246953339772;1.10611199597229;-0.000394036343637638;1.06581314110933
930;3155510.71648721;2708598.10621872;5405656.2702613;-6699.81834555269;1735.05959107821;3455.30317204788;6986689.6543511;0.0486202228218429;-0.0114387331967533;1.10609610720072;-0.000426741501298966;1.10141879514377
960;2952777.93838231;2759115.74684677;5506244.94802698;-6814.34736278138;1632.54447274604;3250.13276768296;6986277.07735244;0.0486318829889487;-0.0129446371953797;1.10608101974182;-0.000460483838793152;1.13688544664137
990;2746731.36347301;2806537.13448217;5600637.04296118;-6920.72835354674;1528.6654345452;3042.24320703178;6985893.1168358;0.0486501897478333;-0.0143958658555636;1.1060667951372;-0.000495189991943857;1.17219751485671
1020;2537616.25104911;2850823.39258842;5688755.07478977;-7018.90879667862;1423.55843805816;2831.90722924564;6985539.13265183;0.0486748443666195;-0.0157789275727588;1.10605348957128;-0.000530782844087402;1.20734038137459
1050;2325679.25350408;2891939.71251144;5770529.72314;-7108.84828717565;1317.3586760834;2619.39601272082;6985216.28964547;0.0487054853433622;-0.0170812992049283;1.10604115371617;-0.000567182033959638;1.24230053336738
1080;2111168.05768035;2929855.32708606;5845899.77403007;-7190.51821107033;1210.20035299123;2404.97873398161;6984925.55842145;0.0487416946520059;-0.0182915500331784;1.10602983261551;-0.00060430446443975;1.27706568616866
1110;1894331.03623493;2964543.47786554;5914812.05355237;-7263.90140299733;1102.21647924555;2188.92215506676;6984667.71743254;0.0487830044533914;-0.0193994441924224;1.10601956560625;-0.000642064808471372;1.31162488408279
1140;1675416.90950374;2995981.37639945;5977221.34960639;-7328.99178914846;993.538680101557;1971.49023943787;6984443.35628512;0.048828904141856;-0.0203960210600874;1.1060103862769;-0.000680376008730874;1.34596857893545
1170;1454674.41826419;3024150.1599843;6033090.32253486;-7385.79401818926;884.297018399477;1752.9437962477;6984252.88015162;0.0488788476009533;-0.021273653644407;1.10600232246063;-0.000719149767883144;1.38008868642382
1200;1232352.00771999;3049034.84230737;6082389.40550951;-7434.32308259221;774.619831293158;1533.5401526428;6984096.5151767;0.0489322605476053;-0.0220260855167044;1.10599539626156;-0.000758297026547254;1.41397862082789
1230;1008697.52296043;3070624.25939874;6125096.69550059;-7474.60393271199;664.633580679455;1313.5328536279;6983974.31476285;0.0489885478521577;-0.0226484472699741;1.10598962411208;-0.000797728426387428;1.44763330908216
1260;783957.916078801;3088911.01129789;6161197.83564851;-7506.67108579174;554.462717029779;1093.17138889003;6983886.16662146;0.0490471007318294;-0.0231372538491598;1.10598501685916;-0.000837354756040824;1.48104918556974
1290;558378.965070859;3103891.39983206;6190685.88983563;-7530.56823194803;444.22955626886;872.700945866435;6983831.800477;0.0491073037264282;-0.0234903843820776;1.10598157987762;-0.000877087377892369;1.51422416928427
1320;332205.004575053;3115565.36289159;6213561.21023379;-7546.34783903768;334.054169297246;652.3621882433;6983810.79631508;0.0491685413774432;-0.0237070463432483;1.10597931320778;-0.000916838634000235;1.54715762520786
1350;105678.668461421;3123936.40557508;6229831.29857715;-7554.07075816429;224.054283713148;432.391058989449;6983822.593069;0.0492302045442563;-0.0237877260084393;1.10597821171554;-0.000956522229764858;1.57985031187826
1380;-120959.355774672;3129011.52856334;6239510.66188203;-7553.80583143708;114.345197255393;213.018606961478;6983866.49764416;0.0492916963038174;-0.0237341272127263;1.10597826527232;-0.000996053594212499;1.61230431717311
1410;-347470.56090389;3130801.15406606;6242620.66330591;-7545.62950345158;5.03970246214914;-5.52916393795451;6983941.69418551;0.0493524373923538;-0.0235491004159691;1.10597945895269;-0.00103535021603207;1.64452298432961
1440;-573618.842271313;3129319.04966999;6239189.36880612;-7529.62543782102;-103.751977980862;-223.03142410897;6984047.25349909;0.0494118711592276;-0.0232365640181422;1.10598177324742;-0.00107433195475678;1.67651083015554
1470;-799170.708691597;3124582.25040112;6229251.39022702;-7505.88413995116;-211.922245744138;-439.272627201264;6984182.14254521;0.0494694680137134;-0.0228014197619839;1.10598518428963;-0.00111292132671997;1.70827345728254
1500;-1023895.48213446;3116610.97929707;6212847.72541079;-7474.50258711968;-319.366171761594;-654.042599769727;6984345.23392807;0.0495247293550646;-0.0222494639227543;1.10598966409208;-0.00115104376563522;1.73981746217347
1530;-1247565.48643396;3105428.56676931;6190025.59589402;-7435.58386679492;-425.981532097934;-867.136612760298;6984535.31531293;0.0495771909846946;-0.0215872958247746;1.10599518079335;-0.00118862785785381;1.7711503404356
1560;-1469956.22528123;3091061.36901793;6160838.28271813;-7389.2368240089;-531.668835333923;-1078.35543594946;6984751.09870957;0.0496264260065616;-0.0208222250504295;1.10600169891106;-0.00122560555253675;1.80228039081588
1590;-1690846.54978318;3073538.68574514;6125344.96084839;-7335.57571848546;-636.331342024641;-1287.50537645528;6984991.22956744;0.0496720472279328;-0.0199621785274228;1.10600917960029;-0.00126191234714465;1.83321661907465
1620;-1910018.81588884;3052892.67739714;6083610.53266264;-7274.71989211754;-739.875076779763;-1494.39830242574;6985254.29563486;0.0497137090776358;-0.0190156085014651;1.10601758091527;-0.00129748744879523;1.86396864275436
1650;-2127259.0320016;3029158.28214733;6035705.46093812;-7206.79344728669;-842.208833506073;-1698.8516529922;6985538.83554124;0.0497511090627769;-0.0179914022290969;1.10602685807302;-0.0013322739121667;1.89454659768665
1680;-2342356.99710876;3002373.13281832;5981705.60173234;-7131.92493642488;-943.244174341143;-1900.68843555303;6985843.34706786;0.0497839887877819;-0.0168987940637585;1.10603696371711;-0.00136621875473555;1.92496104691924
1710;-2555106.42977058;2972577.47392406;5921692.03752249;-7050.24706313133;-1042.89542279374;-2099.73721142551;6986166.29507861;0.0498121345616167;-0.0157472804598325;1.10604784818041;-0.00139927305022985;1.95522289259451
1740;-2765305.0883192;2939814.07899834;5855750.91093712;-6961.89639507731;-1141.0796515915;-2295.83207087357;6986506.11908794;0.0498353776202682;-0.0145465382870992;1.10605945974542;-0.00143139200125467;1.98534329117886
1770;-2972754.88262355;2904128.16836122;5783973.25938415;-6867.01308885809;-1237.71666571993;-2488.81259848612;6986861.24044871;0.0498535939921355;-0.0133063467321609;1.10607174490109;-0.00146253499210748;2.01533357232553
1800;-3177261.97778024;2865567.32746058;5706454.85085048;-6765.74062688398;-1332.72898111935;-2678.52382984482;6987230.06914759;0.0498667040339889;-0.01203651296479;1.10608464859524;-0.00149266562284532;2.04520516155413
1830;-3378636.89009234;2824181.42591218;5623296.02112086;-6658.22556634112;-1426.04179948803;-2864.81620038372;6987611.01019996;0.0498746716647259;-0.0107468016652588;1.1060981144814;-0.00152175172569744;2.07496950684748
1860;-3576694.57569765;2780022.53734877;5534601.51263729;-6544.61730019753;-1517.5829796208;-3047.54548730461;6988002.46964098;0.0498775033233587;-0.00944686844328893;1.10611208515966;-0.00154976536493673;2.10463800920077
1890;-3771254.51220702;2733144.86017575;5440480.31519478;-6425.06783017983;-1607.28300569327;-3226.57274537333;6988402.86011257;0.0498752466766365;-0.00814619712888361;1.10612650241059;-0.00157668282132904;2.13422195710656
1920;-3962140.77371009;2683604.63931927;5341045.50864504;-6299.73155160142;-1695.07495288229;-3401.76423738279;6988810.60604996;0.0498679891004544;-0.00685404087882071;1.10614130742177;-0.00160248456227742;2.16373246492256
1950;-4149182.09950171;2631460.08904097;5236414.10775701;-6168.76504988334;-1780.89445069369;-3572.9913600294;6989224.14847412;0.0498558559578798;-0.00557936701901976;1.10615644100645;-0.00162715519876531;2.19318041504476
1980;-4332211.95687699;2576771.31688291;5126706.90936092;-6032.3269085736;-1864.67964434926;-3740.13056591048;6989641.949399;0.0498390086952163;-0.00433080553011675;1.10617184381407;-0.00165068343018198;2.22257640379514
2010;-4511068.5983366;2519600.24879578;5012048.34188225;-5890.57752864002;-1946.37115456559;-3903.06328231169;6990062.49586472;0.0498176427761427;-0.00311660108089985;1.10618745653216;-0.00167306197808651;2.25193069093027
2040;-4685595.1135369;2460010.55549391;4892566.31735225;-5743.67895878452;-2025.91203603884;-4061.67582741588;6990484.30360994;0.0497919854726;-0.00194456851907374;1.1062032200796;-0.001694287509931;2.28125315268108
2070;-4855639.47631131;2398067.58007146;4768392.08596341;-5591.79473650355;-2103.24773493097;-4215.85932452753;6990905.92039769;0.0497622935298348;-0.000822051740927003;1.10621907579103;-0.00171436055372706;2.31055323824618
2100;-5021054.58708112;2333838.26690551;4639660.09322094;-5435.08973959917;-2178.32604563559;-4365.50961487146;6991325.9290109;0.0497288507218273;0.000244114121492448;1.10623496559236;-0.00173328540459354;2.33983992967756
2130;-5181698.31096446;2267391.09186364;4506507.83972508;-5273.73004782838;-2251.09706708365;-4510.52716948933;6991742.94993417;0.0496919653122917;0.00124763723595038;1.10625083216736;-0.00175107002407942;2.36912170511817
2160;-5337433.51188271;2198795.99382626;4369075.74360389;-5107.88281436413;-2321.51315883343;-4650.81700072414;6992155.64373953;0.0496519674355299;0.00218280034502717;1.10626661911541;-0.00176772593310464;2.39840650537445
2190;-5488128.08295376;2128124.30752655;4227507.00560192;-4937.7161467295;-2389.52889717241;-4786.28857375065;6992562.71319423;0.0496092064106599;0.00304448877196057;1.10628227110052;-0.00178326809931158;2.42770170383156
2220;-5633654.97345108;2055448.69770448;4081947.47681688;-4763.39899685723;-2455.10103144396;-4916.85571857848;6992962.90510894;0.0495640480021388;0.00382821512356877;1.1062977339917;-0.00179771481956611;2.45701407974395
2250;-5773892.21259689;1980843.09456521;3932545.52906417;-4585.10105991931;-2518.18844079662;-5042.43654292548;6993355.01194487;0.0495168716390454;0.00453014063205842;1.10631295499489;-0.00181108759829648;2.4863497949584
2280;-5908722.93044745;1904382.63052631;3779451.92783745;-4402.99268156537;-2578.75209154012;-5162.95334633026;6993737.87319831;0.0494680676052781;0.00514709305500668;1.10632788277667;-0.00182341102230208;2.51571437414849
2310;-6038035.37611689;1826143.57823309;3622819.707823;-4217.24477320486;-2636.7549952786;-5278.3325358464;6994110.37658075;0.0494180342126571;0.00567658103341549;1.10634246757996;-0.00183471263261373;2.54511268865909
2340;-6161722.93357569;1746203.28981627;3462804.05091549;-4028.028734965;-2692.16216797921;-5388.50454363495;6994471.45901262;0.0493671749688679;0.00611680479197918;1.10635666133197;-0.00184502279393389;2.57454894407454
